mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
2.463,0.996,1.271,0.018,0.014,0.007,1.31,60.201,0.0
2.381,0.994,1.274,0.02,0.02,0.01,1.324,67.024,0.0
2.332,0.993,1.28,0.022,0.024,0.01,1.336,56.588,0.0
2.459,0.992,1.286,0.018,0.024,0.009,1.336,57.681,0.0
2.343,0.996,1.239,0.017,0.014,0.007,1.277,56.612,0.0
2.415,0.99,1.313,0.02,0.03,0.009,1.373,57.518,0.0
2.351,0.995,1.272,0.019,0.017,0.008,1.316,56.239,0.0
2.339,0.991,1.242,0.02,0.025,0.008,1.295,56.829,0.0
2.492,0.995,1.315,0.019,0.015,0.008,1.358,56.333,0.0
2.37,0.993,1.265,0.02,0.023,0.008,1.316,58.236,0.0
2.404,0.995,1.3,0.019,0.016,0.009,1.344,66.021,0.0
2.436,0.994,1.229,0.017,0.019,0.008,1.273,66.946,0.0
2.238,0.994,1.259,0.022,0.02,0.011,1.313,67.311,0.0
2.407,0.993,1.325,0.019,0.024,0.009,1.377,67.61,0.0
2.41,0.993,1.318,0.019,0.023,0.01,1.369,67.838,0.0
2.411,0.996,1.272,0.016,0.015,0.009,1.313,67.205,0.0
2.249,0.997,1.261,0.018,0.011,0.006,1.297,67.509,0.0
2.382,0.994,1.362,0.017,0.018,0.009,1.406,68.245,0.0
2.391,0.994,1.25,0.02,0.018,0.008,1.296,67.404,0.0
2.489,0.995,1.273,0.019,0.017,0.009,1.318,66.987,0.0
2.381,0.992,1.309,0.017,0.026,0.007,1.359,66.953,0.0
2.331,0.996,1.285,0.019,0.015,0.008,1.326,66.472,0.0
2.371,0.993,1.322,0.021,0.02,0.01,1.374,67.283,0.0
2.371,0.995,1.241,0.017,0.019,0.008,1.285,65.84,0.0
2.439,0.995,1.281,0.016,0.015,0.006,1.317,68.458,0.0
